filename,mean_R,mean_G,mean_B,contrast_R,dissimilarity_R,homogeneity_R,energy_R,correlation_R,entropy_R,contrast_G,dissimilarity_G,homogeneity_G,energy_G,correlation_G,entropy_G,contrast_B,dissimilarity_B,homogeneity_B,energy_B,correlation_B,entropy_B
20250512_121930.jpg,56.80434616493656,54.7637909297706,51.200221469306676,5.315156516480381,1.845138131363417,0.4525413648678387,0.1299891292389636,1.4446859088307603e-16,2.1498479508093298,5.3093456777024794,1.8437787022250614,0.45270902100268484,0.13010606949420273,1.2045635535881615e-16,2.1493351010575497,5.35133355101284,1.8529127801375824,0.45131280966451437,0.12934216123405878,0.0,2.153238022701363
20250512_121931.jpg,56.278703623606305,54.40379829873126,50.960811386646164,5.3306767218915825,1.8485242209829325,0.4523157279071093,0.1296508263110205,7.21290641253249e-17,2.151352994282627,5.324952378907056,1.847206743061819,0.45246315013789684,0.12977871532734514,0.0,2.1507811803397887,5.364770254658084,1.8558446836459739,0.4511717790173779,0.12905459331335367,0.0,2.154454493920927
20250512_121932(0).jpg,56.61220548186595,54.89910419069589,51.28392373125721,5.327799519666894,1.8480319819670148,0.45262951162281434,0.12968417733940685,0.0,2.1509945416061034,5.323393786567129,1.8469547199037482,0.4527586922179399,0.12978361538471275,1.443567742949822e-16,2.1505621533060437,5.366555074427878,1.8563688172050437,0.4513348929726293,0.12900939131984285,0.0,2.1545205587525667
20250512_121932.jpg,56.52079280404973,54.74791138023837,51.14788679033705,5.342392507350577,1.8501185754045166,0.45338227502805056,0.1294738863949122,0.0,2.151798212268279,5.337592130507282,1.8489421129000059,0.4535270894311492,0.12958687892291762,0.0,2.151295110424882,5.377718895981272,1.857708746539673,0.45216400717991906,0.12886152706609652,2.3937630937925155e-17,2.155006293407753
20250512_121933.jpg,56.33502202678457,54.36554225938742,50.91416442393951,5.304225864294319,1.843397100694242,0.45196390022098354,0.13013047609571102,1.9282316088715846e-16,2.1494098610751826,5.297724275778164,1.8419577471495208,0.4521036795227781,0.1302628616431906,0.0,2.148795529741872,5.336289304170105,1.8502153573531117,0.45093323024360044,0.1295735666447221,0.0,2.152309227360795
20250512_121934(0).jpg,58.029191416762785,55.529699634755865,51.663365051903114,5.307666859942508,1.8442504261136154,0.4521848336444182,0.13000669907353513,1.4457048486651987e-16,2.149836263097738,5.301904204275162,1.8429225649538736,0.4523394112181799,0.13012646041060025,0.0,2.149299836316069,5.350887026402554,1.8534936570131977,0.4508170248368047,0.12923947780096698,0.0,2.1538143949456803
20250512_121934.jpg,56.92497677175445,54.61476475394079,50.968634499551456,5.319544325833553,1.8462117911118332,0.45230640772801867,0.12984201679861496,0.0,2.1505625953932546,5.312236211488747,1.8445876859747146,0.4524694511919522,0.1299781712196253,1.2042357909352392e-16,2.1499445775335424,5.356544652885825,1.854086141318776,0.45111799370214845,0.12919511181754695,2.3984896602055572e-17,2.1539208414062645
20250512_121935.jpg,58.916908721004745,56.70748566256568,52.63549996796104,5.346091340822044,1.8511518288513449,0.45370870949127984,0.12934119339229072,7.202500262211988e-17,2.1521691771183415,5.340248725617081,1.8497652871902468,0.45385967888211637,0.12946554352754538,0.0,2.1516301817570045,5.394435727685058,1.8614473712723232,0.45210983284989886,0.12851972324819924,4.7801023930064807e-17,2.156488642179448
20250512_121936.jpg,58.969828271177754,56.89569941048315,52.826159730231964,5.331872267536608,1.8485029419064476,0.4534251430316332,0.12955006608621547,1.6828227980215983e-16,2.1514349215455453,5.328415781321569,1.8476030817439,0.4535491141007811,0.12963432572160813,2.404812177240202e-17,2.151078072345845,5.380782416883748,1.859048859238527,0.4517853460476659,0.12868814617985747,0.0,2.1559043640782325
20250512_121937(0).jpg,59.703099849416894,57.373408144303475,53.18736591695502,5.326213368789779,1.84797513227063,0.45279097986988265,0.12963174787388623,1.443185595605524e-16,2.15121093131449,5.322645328431257,1.847167526339157,0.45286037570449983,0.12971699999371267,0.0,2.150831701899499,5.380712482056605,1.8596524193696202,0.4510193572308561,0.1286802200272127,4.786194220385798e-17,2.156146328110746
