filename,mean_R,mean_G,mean_B,contrast_R,dissimilarity_R,homogeneity_R,energy_R,correlation_R,asm_R,entropy_R,contrast_G,dissimilarity_G,homogeneity_G,energy_G,correlation_G,asm_G,entropy_G,contrast_B,dissimilarity_B,homogeneity_B,energy_B,correlation_B,asm_B,entropy_B
20250512_122202.jpg,76.93955105408176,74.55336785531206,68.6474851819813,0.13826837136628056,0.1355330463357414,0.9325029014907049,0.6232618674627792,0.9948923345741194,0.3885234186950719,8.96152299486758,0.15574037372525384,0.1529981169539209,0.923770945326023,0.5910148638685965,0.9938874921413848,0.3493847764421777,9.424079626252318,0.15255276406139556,0.149789110089914,0.9253776397396083,0.5271215808660444,0.9936368984467652,0.2779582196151934,9.777751982240492
20250512_122203.jpg,77.46581370947072,74.91483996539792,68.91649397667564,0.12961480374237783,0.12724582656320163,0.9366115367014378,0.6367871147223184,0.9952187642267663,0.4055577086333623,8.746852062317872,0.14778197139777016,0.14540177452386222,0.927534837640631,0.6069435027979787,0.9942076401224561,0.36845745947241143,9.20916661411053,0.14867758431847425,0.1462923391677879,0.9270900729849411,0.5280674356590362,0.9938223024513555,0.2789522910338723,9.741693330615805
20250512_122204(0).jpg,77.06115860886838,74.20289039471999,68.32340534089452,0.13688916793024897,0.13415925381803606,0.9331892498403402,0.6214281950129782,0.9949393840251787,0.38623944456112047,9.044436626782952,0.15697223371177504,0.15423831234661703,0.9231500629953487,0.5789860776310201,0.9937993699463129,0.33531747413857704,9.542182407432765,0.14998910034126325,0.1472545781409029,0.926642133060082,0.5307227769643567,0.9937280564473517,0.28176128814631823,9.830272951013864
20250512_122204.jpg,77.51707948865821,74.90973287517622,68.7962755510701,0.13338686277628314,0.13061215253611877,0.9349669477860771,0.6315115089439819,0.9950806342682881,0.39886934055224277,8.87899570164717,0.15170194994663166,0.1489180236382081,0.9258147643934093,0.6017605458866181,0.9940378873738158,0.3621963712111139,9.326594547510938,0.15004041151925393,0.14725612476274486,0.9266458911391955,0.5281392120826647,0.9937652239211163,0.2790277865934663,9.804012396933167
20250512_122206.jpg,76.58095644303474,73.40117639049083,67.47491061130334,0.1330032587805639,0.13078878302115454,0.9348250609418105,0.6205220826586288,0.9951028453765012,0.3851103554931279,9.001512620846807,0.1556713291300286,0.15344371140068172,0.923498903445417,0.5632524677530366,0.9938855093977882,0.3173507860322307,9.55416414323163,0.13973729756595812,0.13752033801477356,0.9314596353955026,0.5448450276508727,0.994172799435348,0.2969363754613102,9.665980811169808
20250512_122207(0).jpg,76.5884885620915,73.37514994232987,67.54648116109189,0.1347424965480126,0.1319691097023247,0.9342887487347553,0.6189456872765198,0.9950631767152496,0.3831567274020527,9.062718215202752,0.15730764445618795,0.15451322186022737,0.9230187447111957,0.5610063046666468,0.993870910148546,0.31482512621984043,9.615148874677324,0.14245473083091548,0.13964985043122552,0.9304514751571272,0.5433391379642281,0.9941120903485416,0.29529946919036626,9.73395373659128
20250512_122207.jpg,76.68713940151224,73.46148812956555,67.53255502691273,0.14187738545230522,0.1390856035952697,0.9307330188181614,0.6105884488238112,0.9947796705720675,0.37288970429539725,9.25570153795843,0.16279282888735463,0.15997836858291148,0.9202888555563031,0.5566226429962549,0.9936237238840847,0.30993400143822114,9.755884403274495,0.15007428926710295,0.14724957132056507,0.9266540936323326,0.5369769819639671,0.9937617127655101,0.28843522728437315,9.899854156509107
20250512_122208.jpg,76.60015114379085,73.42072680379341,67.57391011469947,0.13411343685265376,0.13177735718423114,0.934342274581748,0.6162184760862546,0.9951024440646566,0.3797900041906702,9.086082842423949,0.15659689914811786,0.15425356703832027,0.9231047794451983,0.5585538579601377,0.9939300070300842,0.31208141038076753,9.639950945028133,0.14064671542080787,0.13829665205268565,0.9310839759399565,0.544374368337261,0.9942029261102158,0.296425436666214,9.703251007762768
20250512_122209(0).jpg,76.82924484172754,73.63869072792515,67.77011213635781,0.13252879946286727,0.13001629600068643,0.9352397973601186,0.6230619255587053,0.9951942068809584,0.3882676351088007,9.006001605448619,0.1550424434433565,0.15252288770470881,0.9239872937944709,0.5666878478664998,0.9940454344535639,0.32122954315882435,9.547627233584034,0.14286428090945047,0.14034103880177312,0.9300786220788021,0.5413760640583896,0.9941830628003983,0.2931723775110079,9.749040803783583
20250512_122209.jpg,76.756321366782,73.58419189734717,67.69967632641291,0.1276205280674008,0.12607732235989128,0.9371148875302692,0.6263836932666628,0.9953620343378967,0.39241560775415346,8.900971119696937,0.15081120684161797,0.14925938616623163,0.9255246942776282,0.5681496056247745,0.9941895973849884,0.32288717752095675,9.482377842117431,0.13728991535254442,0.13573512989507655,0.9322869859608863,0.5446169959225845,0.99438802990263,0.29668852295787895,9.64703348291446
